[INFO] music_player_setup.cpp:3706 main() Starting application
[INFO] music_player_setup.cpp:3212 init_db() Database initialized successfully.
[INFO] music_player_setup.cpp:63 loadConfig() Loading config
[INFO] music_player_setup.cpp:74 loadConfig() Config loaded
[INFO] music_player_setup.cpp:3091 refresh_list() Refreshing list
[DEBUG] music_player_setup.cpp:3096 refresh_list() Starting refresh_list for Samba path: smb://192.168.188.41/media/musica
[DEBUG] music_player_setup.cpp:1587 on_update_position() on_update_position called. Pipeline state: 1
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Hilary Duff                         D        0  Wed Mar  4 15:57:05 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Laura Pausini - Inédito            D        0  Wed Mar  4 15:59:52 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   blues                               D        0  Thu Mar  5 07:52:03 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Tilt                                D        0  Wed Mar  4 16:04:48 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   varie                               D        0  Wed Mar  4 16:06:44 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Ketama                              D        0  Wed Mar  4 15:58:50 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Scott Henderson                     D        0  Wed Mar  4 16:04:25 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Just Jack                           D        0  Wed Mar  4 15:58:46 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Stan Getz_João Gilberto            D        0  Wed Mar  4 16:04:35 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Luca Carboni                        D        0  Wed Mar  4 16:00:14 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   santino                             D        0  Wed Mar  4 16:04:22 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Raoul                               D        0  Wed Mar  4 16:03:57 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   disco                               D        0  Wed Mar  4 15:54:49 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   favorites.m3u                       A      615  Thu Mar  5 16:29:30 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Coldplay                            D        0  Wed Mar  4 15:53:23 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Gigi D'alessio & Loredana Berte      D        0  Wed Mar  4 15:57:04 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Luci Battisti                       D        0  Wed Mar  4 16:00:30 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Pino Daniele The platinum Collection      D        0  Wed Mar  4 16:03:37 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Jazz                                D        0  Thu Mar  5 07:55:16 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Tango                               D        0  Wed Mar  4 16:04:43 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   anni 90                             D        0  Wed Mar  4 15:51:57 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   The Church                          D        0  Wed Mar  4 16:04:43 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   anni 50-60                          D        0  Wed Mar  4 15:49:39 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Domenico Modugno                    D        0  Wed Mar  4 15:55:02 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   The Police                          D        0  Wed Mar  4 16:04:47 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Alessandra Amoroso                  D        0  Wed Mar  4 15:48:42 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Arisa                               D        0  Wed Mar  4 15:51:59 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Scissor Sisters                     D        0  Wed Mar  4 16:04:24 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Sheryl Crow                         D        0  Wed Mar  4 16:04:27 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Pet Shop Boys                       D        0  Wed Mar  4 16:03:04 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Pink Floyd                          D        0  Wed Mar  4 16:03:33 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Dj Matrix                           D        0  Wed Mar  4 15:55:00 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   hooverphonic                        D        0  Wed Mar  4 15:57:06 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Renzo Arbore                        D        0  Wed Mar  4 16:04:00 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Nomadi                              D        0  Wed Mar  4 16:03:02 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   dj                                  D        0  Wed Mar  4 15:54:57 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   tony esposito                       D        0  Wed Mar  4 16:04:48 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Lilly Allen                         D        0  Wed Mar  4 16:00:02 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Celine Dion                         D        0  Wed Mar  4 15:52:20 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Mika                                D        0  Wed Mar  4 16:02:19 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Keira                               D        0  Wed Mar  4 20:59:55 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Kool & the Gang                     D        0  Wed Mar  4 15:58:50 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Nek                                 D        0  Wed Mar  4 16:03:01 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Best of TOKIO                       D        0  Wed Mar  4 15:52:14 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Maroon 5                            D        0  Wed Mar  4 16:02:13 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   gayle                               D        0  Wed Mar  4 15:56:53 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   lene marlin                         D        0  Wed Mar  4 15:59:54 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Samuele Bersani                     D        0  Wed Mar  4 16:04:07 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Gerard Bauer & Mike Bauer           D        0  Wed Mar  4 15:57:04 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Ultimo-Colpa.Delle.Favole-2019      D        0  Wed Mar  4 16:04:54 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Piero Pelù                         D        0  Wed Mar  4 16:03:31 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Angelo Branduardi                   D        0  Wed Mar  4 15:49:30 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Yo-Yo Ma                            D        0  Wed Mar  4 16:06:58 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Compilations                        D        0  Wed Mar  4 15:53:55 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Maria Gadú                         D        0  Wed Mar  4 16:02:13 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Reel 2 Real                         D        0  Wed Mar  4 16:03:59 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Pierangelo Bertoli                  D        0  Wed Mar  4 16:03:29 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Klaxons                             D        0  Wed Mar  4 15:58:50 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   stan getz Joao gilberto - GETZ-GILBERTO (1963)      D        0  Wed Mar  4 16:04:35 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Savage Garden                       D        0  Wed Mar  4 16:04:24 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Sting & The Police                  D        0  Wed Mar  4 16:04:37 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   U2                                  D        0  Wed Mar  4 16:04:49 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   La Mosca Tse-Tse                    D        0  Wed Mar  4 15:58:54 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Guillemots                          D        0  Wed Mar  4 15:57:05 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Sergio Mendes                       D        0  Wed Mar  4 16:04:27 2026
